osm_id,ags,ort,plz,landkreis,bundesland
1963818,13072110,Vorbeck,18258,Landkreis Rostock,Mecklenburg-Vorpommern
1307201,14625600,Wachau,01454,Landkreis Bautzen,Sachsen
1184562,10044120,Wadgassen,66787,Landkreis Saarlouis,Saarland
158038,05370032,Waldfeucht,52525,Kreis Heinsberg,Nordrhein-Westfalen
1316260,14626580,Waldhufen,02906,Landkreis Görlitz,Sachsen
9682197,13072111,Walkendorf,17179,Landkreis Rostock,Mecklenburg-Vorpommern
1184569,10044121,Wallerfangen,66798,Landkreis Saarlouis,Saarland
2397425,15087440,Wallhausen,06528,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
1446637,03154025,Warberg,38378,Landkreis Helmstedt,Niedersachsen
1971867,13072112,Wardow,18299,Landkreis Rostock,Mecklenburg-Vorpommern
2027765,13072113,Warnkenhagen,17168,Landkreis Rostock,Mecklenburg-Vorpommern
1963384,13072114,Warnow,18249,Landkreis Rostock,Mecklenburg-Vorpommern
158023,05370036,Wassenberg,41849,Kreis Heinsberg,Nordrhein-Westfalen
51167,05370040,Wegberg,41844,Kreis Heinsberg,Nordrhein-Westfalen
158134,05366040,Weilerswist,53919,Kreis Euskirchen,Nordrhein-Westfalen
1309659,14625610,Weißenberg - Wóspork,02627,Landkreis Bautzen,Sachsen
2405268,15084550,Weißenfels,06667,Burgenlandkreis,Sachsen-Anhalt
2405268,15084550,Weißenfels,06688,Burgenlandkreis,Sachsen-Anhalt
1311128,14626590,Weißkeißel – Wuskidź,02957,Landkreis Görlitz,Sachsen
1310639,14626600,Weißwasser/O.L. - Běła Woda,02943,Landkreis Görlitz,Sachsen
1322548,12071408,Welzow,03119,Landkreis Spree-Neiße,Brandenburg
1322841,12071412,Werben,03096,Landkreis Spree-Neiße,Brandenburg
535245,14730330,Wermsdorf,04779,Landkreis Nordsachsen,Sachsen
158456,05978040,Werne,59368,Kreis Unna,Nordrhein-Westfalen
168448,05362040,Wesseling,50389,Rhein-Erft-Kreis,Nordrhein-Westfalen
2403988,15084560,Wethau,06618,Burgenlandkreis,Sachsen-Anhalt
2404218,15084565,Wetterzeube,06722,Burgenlandkreis,Sachsen-Anhalt
2407134,15088216,Wettin-Löbejün,06193,Saalekreis,Sachsen-Anhalt
444739,14730340,Wiedemar,04509,Landkreis Nordsachsen,Sachsen
1964353,13072116,Wiendorf,18258,Landkreis Rostock,Mecklenburg-Vorpommern
1322601,12071414,Wiesengrund,03149,Landkreis Spree-Neiße,Brandenburg
55776,12061540,Wildau,15745,Landkreis Dahme-Spreewald,Brandenburg
1309672,14625630,Wilthen,02681,Landkreis Bautzen,Sachsen
2409463,15087470,Wimmelburg,06313,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
2676109,16077052,Windischleuba,04603,Landkreis Altenburger Land,Thüringen
394349,13072117,Wittenbeck,18209,Landkreis Rostock,Mecklenburg-Vorpommern
1309582,14625640,Wittichenau - Kulow,02997,Landkreis Bautzen,Sachsen
1446632,03154026,Wolsdorf,38379,Landkreis Helmstedt,Niedersachsen
157994,05334036,Würselen,52146,Städteregion Aachen,Nordrhein-Westfalen
422917,14729410,Wurzen,04808,Landkreis Leipzig,Sachsen
393341,13072118,Zarnewanz,18195,Landkreis Rostock,Mecklenburg-Vorpommern
1964782,13072119,Zehna,18276,Landkreis Rostock,Mecklenburg-Vorpommern
2404586,15084590,Zeitz,06711,Burgenlandkreis,Sachsen-Anhalt
2404586,15084590,Zeitz,06712,Burgenlandkreis,Sachsen-Anhalt
1963819,13072120,Zepelin,18246,Landkreis Rostock,Mecklenburg-Vorpommern
1070782,15082430,Zerbst/Anhalt,39261,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
1070782,15082430,Zerbst/Anhalt,39264,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
55775,12061572,Zeuthen,15738,Landkreis Dahme-Spreewald,Brandenburg
394323,13072121,Ziesendorf,18059,Landkreis Rostock,Mecklenburg-Vorpommern
418117,14626610,Zittau,02763,Landkreis Görlitz,Sachsen
418117,14626610,Zittau,02788,Landkreis Görlitz,Sachsen
1329608,15082440,Zörbig,06780,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
445994,14730360,Zschepplin,04838,Landkreis Nordsachsen,Sachsen
158138,05366044,Zülpich,53909,Kreis Euskirchen,Nordrhein-Westfalen
420477,14729430,Zwenkau,04442,Landkreis Leipzig,Sachsen
62430,12052000,Cottbus - Chóśebuz,03042,Cottbus - Chóśebuz,Brandenburg
62430,12052000,Cottbus - Chóśebuz,03044,Cottbus - Chóśebuz,Brandenburg
62430,12052000,Cottbus - Chóśebuz,03046,Cottbus - Chóśebuz,Brandenburg
62430,12052000,Cottbus - Chóśebuz,03048,Cottbus - Chóśebuz,Brandenburg
62430,12052000,Cottbus - Chóśebuz,03050,Cottbus - Chóśebuz,Brandenburg
62430,12052000,Cottbus - Chóśebuz,03051,Cottbus - Chóśebuz,Brandenburg
62430,12052000,Cottbus - Chóśebuz,03052,Cottbus - Chóśebuz,Brandenburg
62430,12052000,Cottbus - Chóśebuz,03053,Cottbus - Chóśebuz,Brandenburg
62430,12052000,Cottbus - Chóśebuz,03054,Cottbus - Chóśebuz,Brandenburg
62430,12052000,Cottbus - Chóśebuz,03055,Cottbus - Chóśebuz,Brandenburg
62456,05112000,Duisburg,47051,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47053,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47055,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47057,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47058,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47059,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47119,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47137,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47138,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47139,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47166,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47167,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47169,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47178,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47179,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47198,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47199,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47226,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47228,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47229,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47239,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47249,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47259,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47269,Duisburg,Nordrhein-Westfalen
62456,05112000,Duisburg,47279,Duisburg,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45879,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45881,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45883,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45884,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45886,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45888,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45889,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45891,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45892,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45894,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45896,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45897,Gelsenkirchen,Nordrhein-Westfalen
62522,05513000,Gelsenkirchen,45899,Gelsenkirchen,Nordrhein-Westfalen
62638,15002000,Halle (Saale),06108,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06110,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06112,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06114,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06116,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06118,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06120,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06122,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06124,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06126,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06128,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06130,Halle (Saale),Sachsen-Anhalt
62638,15002000,Halle (Saale),06132,Halle (Saale),Sachsen-Anhalt
62499,05915000,Hamm,59063,Hamm,Nordrhein-Westfalen
62499,05915000,Hamm,59065,Hamm,Nordrhein-Westfalen
62499,05915000,Hamm,59067,Hamm,Nordrhein-Westfalen
62499,05915000,Hamm,59069,Hamm,Nordrhein-Westfalen
62499,05915000,Hamm,59071,Hamm,Nordrhein-Westfalen
62499,05915000,Hamm,59073,Hamm,Nordrhein-Westfalen
62499,05915000,Hamm,59075,Hamm,Nordrhein-Westfalen
62499,05915000,Hamm,59077,Hamm,Nordrhein-Westfalen
62396,05916000,Herne,44623,Herne,Nordrhein-Westfalen
62396,05916000,Herne,44625,Herne,Nordrhein-Westfalen
62396,05916000,Herne,44627,Herne,Nordrhein-Westfalen
62396,05916000,Herne,44628,Herne,Nordrhein-Westfalen
62396,05916000,Herne,44629,Herne,Nordrhein-Westfalen
62396,05916000,Herne,44649,Herne,Nordrhein-Westfalen
62396,05916000,Herne,44651,Herne,Nordrhein-Westfalen
62396,05916000,Herne,44652,Herne,Nordrhein-Westfalen
62396,05916000,Herne,44653,Herne,Nordrhein-Westfalen
62649,14713000,Leipzig,04103,Leipzig,Sachsen
62649,14713000,Leipzig,04105,Leipzig,Sachsen
62649,14713000,Leipzig,04107,Leipzig,Sachsen
62649,14713000,Leipzig,04109,Leipzig,Sachsen
62649,14713000,Leipzig,04129,Leipzig,Sachsen
62649,14713000,Leipzig,04155,Leipzig,Sachsen
62649,14713000,Leipzig,04157,Leipzig,Sachsen
62649,14713000,Leipzig,04158,Leipzig,Sachsen
62649,14713000,Leipzig,04159,Leipzig,Sachsen
62649,14713000,Leipzig,04177,Leipzig,Sachsen
62649,14713000,Leipzig,04178,Leipzig,Sachsen
62649,14713000,Leipzig,04179,Leipzig,Sachsen
62649,14713000,Leipzig,04205,Leipzig,Sachsen
62649,14713000,Leipzig,04207,Leipzig,Sachsen
62649,14713000,Leipzig,04209,Leipzig,Sachsen
62649,14713000,Leipzig,04229,Leipzig,Sachsen
62649,14713000,Leipzig,04249,Leipzig,Sachsen
62649,14713000,Leipzig,04275,Leipzig,Sachsen
62649,14713000,Leipzig,04277,Leipzig,Sachsen
62649,14713000,Leipzig,04279,Leipzig,Sachsen
62649,14713000,Leipzig,04288,Leipzig,Sachsen
62649,14713000,Leipzig,04289,Leipzig,Sachsen
62649,14713000,Leipzig,04299,Leipzig,Sachsen
62649,14713000,Leipzig,04315,Leipzig,Sachsen
62649,14713000,Leipzig,04316,Leipzig,Sachsen
62649,14713000,Leipzig,04317,Leipzig,Sachsen
62649,14713000,Leipzig,04318,Leipzig,Sachsen
62649,14713000,Leipzig,04319,Leipzig,Sachsen
62649,14713000,Leipzig,04328,Leipzig,Sachsen
62649,14713000,Leipzig,04329,Leipzig,Sachsen
62649,14713000,Leipzig,04347,Leipzig,Sachsen
62649,14713000,Leipzig,04349,Leipzig,Sachsen
62649,14713000,Leipzig,04356,Leipzig,Sachsen
62649,14713000,Leipzig,04357,Leipzig,Sachsen
62410,05116000,Mönchengladbach,41061,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41063,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41065,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41066,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41068,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41069,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41169,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41179,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41189,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41199,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41236,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41238,Mönchengladbach,Nordrhein-Westfalen
62410,05116000,Mönchengladbach,41239,Mönchengladbach,Nordrhein-Westfalen
62405,13003000,Rostock,18055,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18057,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18059,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18069,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18106,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18107,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18109,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18119,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18146,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18147,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18181,Rostock,Mecklenburg-Vorpommern
62405,13003000,Rostock,18182,Rostock,Mecklenburg-Vorpommern
62444,03405000,Wilhelmshaven,26382,Wilhelmshaven,Niedersachsen
62444,03405000,Wilhelmshaven,26384,Wilhelmshaven,Niedersachsen
62444,03405000,Wilhelmshaven,26386,Wilhelmshaven,Niedersachsen
62444,03405000,Wilhelmshaven,26388,Wilhelmshaven,Niedersachsen
62444,03405000,Wilhelmshaven,26389,Wilhelmshaven,Niedersachsen
