plz,Paragraph,Revier
17168,§11/12,Steinkohlenbergbaugebiete
52445,§2,Rheinisches Braunkohlerevier
04860,§2,Mitteldeutsches Braunkohlerevier
04861,§2,Mitteldeutsches Braunkohlerevier
04617,§11/12,Steinkohlenbergbaugebiete
02959,§2,Lausitzer Braunkohlerevier
04687,§2,Mitteldeutsches Braunkohlerevier
03253,§2,Lausitzer Braunkohlerevier
04880,§2,Mitteldeutsches Braunkohlerevier
03130,§2,Lausitzer Braunkohlerevier
03185,§2,Lausitzer Braunkohlerevier
52531,§2,Rheinisches Braunkohlerevier
66802,§11/12,Steinkohlenbergbaugebiete
04895,§2,Lausitzer Braunkohlerevier
04924,§2,Lausitzer Braunkohlerevier
04938,§2,Lausitzer Braunkohlerevier
59423,§11/12,Steinkohlenbergbaugebiete
59425,§11/12,Steinkohlenbergbaugebiete
59427,§11/12,Steinkohlenbergbaugebiete
15910,§2,Lausitzer Braunkohlerevier
38458,§11/12,Steinkohlenbergbaugebiete
03226,§2,Lausitzer Braunkohlerevier
52391,§2,Rheinisches Braunkohlerevier
02894,§2,Lausitzer Braunkohlerevier
66333,§11/12,Steinkohlenbergbaugebiete
04626,§11/12,Steinkohlenbergbaugebiete
18258,§11/12,Steinkohlenbergbaugebiete
01454,§2,Lausitzer Braunkohlerevier
66787,§11/12,Steinkohlenbergbaugebiete
52525,§2,Rheinisches Braunkohlerevier
02906,§2,Lausitzer Braunkohlerevier
17179,§11/12,Steinkohlenbergbaugebiete
66798,§11/12,Steinkohlenbergbaugebiete
06528,§2,Mitteldeutsches Braunkohlerevier
38378,§11/12,Steinkohlenbergbaugebiete
18299,§11/12,Steinkohlenbergbaugebiete
17168,§11/12,Steinkohlenbergbaugebiete
18249,§11/12,Steinkohlenbergbaugebiete
41849,§2,Rheinisches Braunkohlerevier
41844,§2,Rheinisches Braunkohlerevier
53919,§2,Rheinisches Braunkohlerevier
02627,§2,Lausitzer Braunkohlerevier
06667,§2,Mitteldeutsches Braunkohlerevier
06688,§2,Mitteldeutsches Braunkohlerevier
02957,§2,Lausitzer Braunkohlerevier
02943,§2,Lausitzer Braunkohlerevier
03119,§2,Lausitzer Braunkohlerevier
03096,§2,Lausitzer Braunkohlerevier
04779,§2,Mitteldeutsches Braunkohlerevier
59368,§11/12,Steinkohlenbergbaugebiete
50389,§2,Rheinisches Braunkohlerevier
06618,§2,Mitteldeutsches Braunkohlerevier
06722,§2,Mitteldeutsches Braunkohlerevier
06193,§2,Mitteldeutsches Braunkohlerevier
04509,§2,Mitteldeutsches Braunkohlerevier
18258,§11/12,Steinkohlenbergbaugebiete
03149,§2,Lausitzer Braunkohlerevier
15745,§2,Lausitzer Braunkohlerevier
02681,§2,Lausitzer Braunkohlerevier
06313,§2,Mitteldeutsches Braunkohlerevier
04603,§11/12,Steinkohlenbergbaugebiete
18209,§11/12,Steinkohlenbergbaugebiete
02997,§2,Lausitzer Braunkohlerevier
38379,§11/12,Steinkohlenbergbaugebiete
52146,§2,Rheinisches Braunkohlerevier
04808,§2,Mitteldeutsches Braunkohlerevier
18195,§11/12,Steinkohlenbergbaugebiete
18276,§11/12,Steinkohlenbergbaugebiete
06711,§2,Mitteldeutsches Braunkohlerevier
06712,§2,Mitteldeutsches Braunkohlerevier
18246,§11/12,Steinkohlenbergbaugebiete
39261,§2,Mitteldeutsches Braunkohlerevier
39264,§2,Mitteldeutsches Braunkohlerevier
15738,§2,Lausitzer Braunkohlerevier
18059,§11/12,Steinkohlenbergbaugebiete
02763,§2,Lausitzer Braunkohlerevier
02788,§2,Lausitzer Braunkohlerevier
06780,§2,Mitteldeutsches Braunkohlerevier
04838,§2,Mitteldeutsches Braunkohlerevier
53909,§2,Rheinisches Braunkohlerevier
04442,§2,Mitteldeutsches Braunkohlerevier
03042,§2,Lausitzer Braunkohlerevier
03044,§2,Lausitzer Braunkohlerevier
03046,§2,Lausitzer Braunkohlerevier
03048,§2,Lausitzer Braunkohlerevier
03050,§2,Lausitzer Braunkohlerevier
03051,§2,Lausitzer Braunkohlerevier
03052,§2,Lausitzer Braunkohlerevier
03053,§2,Lausitzer Braunkohlerevier
03054,§2,Lausitzer Braunkohlerevier
03055,§2,Lausitzer Braunkohlerevier
47051,§11/12,Steinkohlenbergbaugebiete
47053,§11/12,Steinkohlenbergbaugebiete
47055,§11/12,Steinkohlenbergbaugebiete
47057,§11/12,Steinkohlenbergbaugebiete
47058,§11/12,Steinkohlenbergbaugebiete
47059,§11/12,Steinkohlenbergbaugebiete
47119,§11/12,Steinkohlenbergbaugebiete
47137,§11/12,Steinkohlenbergbaugebiete
47138,§11/12,Steinkohlenbergbaugebiete
47139,§11/12,Steinkohlenbergbaugebiete
47166,§11/12,Steinkohlenbergbaugebiete
47167,§11/12,Steinkohlenbergbaugebiete
47169,§11/12,Steinkohlenbergbaugebiete
47178,§11/12,Steinkohlenbergbaugebiete
47179,§11/12,Steinkohlenbergbaugebiete
47198,§11/12,Steinkohlenbergbaugebiete
47199,§11/12,Steinkohlenbergbaugebiete
47226,§11/12,Steinkohlenbergbaugebiete
47228,§11/12,Steinkohlenbergbaugebiete
47229,§11/12,Steinkohlenbergbaugebiete
47239,§11/12,Steinkohlenbergbaugebiete
47249,§11/12,Steinkohlenbergbaugebiete
47259,§11/12,Steinkohlenbergbaugebiete
47269,§11/12,Steinkohlenbergbaugebiete
47279,§11/12,Steinkohlenbergbaugebiete
45879,§11/12,Steinkohlenbergbaugebiete
45881,§11/12,Steinkohlenbergbaugebiete
45883,§11/12,Steinkohlenbergbaugebiete
45884,§11/12,Steinkohlenbergbaugebiete
45886,§11/12,Steinkohlenbergbaugebiete
45888,§11/12,Steinkohlenbergbaugebiete
45889,§11/12,Steinkohlenbergbaugebiete
45891,§11/12,Steinkohlenbergbaugebiete
45892,§11/12,Steinkohlenbergbaugebiete
45894,§11/12,Steinkohlenbergbaugebiete
45896,§11/12,Steinkohlenbergbaugebiete
45897,§11/12,Steinkohlenbergbaugebiete
45899,§11/12,Steinkohlenbergbaugebiete
06108,§2,Mitteldeutsches Braunkohlerevier
06110,§2,Mitteldeutsches Braunkohlerevier
06112,§2,Mitteldeutsches Braunkohlerevier
06114,§2,Mitteldeutsches Braunkohlerevier
06116,§2,Mitteldeutsches Braunkohlerevier
06118,§2,Mitteldeutsches Braunkohlerevier
06120,§2,Mitteldeutsches Braunkohlerevier
06122,§2,Mitteldeutsches Braunkohlerevier
06124,§2,Mitteldeutsches Braunkohlerevier
06126,§2,Mitteldeutsches Braunkohlerevier
06128,§2,Mitteldeutsches Braunkohlerevier
06130,§2,Mitteldeutsches Braunkohlerevier
06132,§2,Mitteldeutsches Braunkohlerevier
59063,§11/12,Steinkohlenbergbaugebiete
59065,§11/12,Steinkohlenbergbaugebiete
59067,§11/12,Steinkohlenbergbaugebiete
59069,§11/12,Steinkohlenbergbaugebiete
59071,§11/12,Steinkohlenbergbaugebiete
59073,§11/12,Steinkohlenbergbaugebiete
59075,§11/12,Steinkohlenbergbaugebiete
59077,§11/12,Steinkohlenbergbaugebiete
44623,§11/12,Steinkohlenbergbaugebiete
44625,§11/12,Steinkohlenbergbaugebiete
44627,§11/12,Steinkohlenbergbaugebiete
44628,§11/12,Steinkohlenbergbaugebiete
44629,§11/12,Steinkohlenbergbaugebiete
44649,§11/12,Steinkohlenbergbaugebiete
44651,§11/12,Steinkohlenbergbaugebiete
44652,§11/12,Steinkohlenbergbaugebiete
44653,§11/12,Steinkohlenbergbaugebiete
04103,§2,Mitteldeutsches Braunkohlerevier
04105,§2,Mitteldeutsches Braunkohlerevier
04107,§2,Mitteldeutsches Braunkohlerevier
04109,§2,Mitteldeutsches Braunkohlerevier
04129,§2,Mitteldeutsches Braunkohlerevier
04155,§2,Mitteldeutsches Braunkohlerevier
04157,§2,Mitteldeutsches Braunkohlerevier
04158,§2,Mitteldeutsches Braunkohlerevier
04159,§2,Mitteldeutsches Braunkohlerevier
04177,§2,Mitteldeutsches Braunkohlerevier
04178,§2,Mitteldeutsches Braunkohlerevier
04179,§2,Mitteldeutsches Braunkohlerevier
04205,§2,Mitteldeutsches Braunkohlerevier
04207,§2,Mitteldeutsches Braunkohlerevier
04209,§2,Mitteldeutsches Braunkohlerevier
04229,§2,Mitteldeutsches Braunkohlerevier
04249,§2,Mitteldeutsches Braunkohlerevier
04275,§2,Mitteldeutsches Braunkohlerevier
04277,§2,Mitteldeutsches Braunkohlerevier
04279,§2,Mitteldeutsches Braunkohlerevier
04288,§2,Mitteldeutsches Braunkohlerevier
04289,§2,Mitteldeutsches Braunkohlerevier
04299,§2,Mitteldeutsches Braunkohlerevier
04315,§2,Mitteldeutsches Braunkohlerevier
04316,§2,Mitteldeutsches Braunkohlerevier
04317,§2,Mitteldeutsches Braunkohlerevier
04318,§2,Mitteldeutsches Braunkohlerevier
04319,§2,Mitteldeutsches Braunkohlerevier
04328,§2,Mitteldeutsches Braunkohlerevier
04329,§2,Mitteldeutsches Braunkohlerevier
04347,§2,Mitteldeutsches Braunkohlerevier
04349,§2,Mitteldeutsches Braunkohlerevier
04356,§2,Mitteldeutsches Braunkohlerevier
04357,§2,Mitteldeutsches Braunkohlerevier
41061,§2,Rheinisches Braunkohlerevier
41063,§2,Rheinisches Braunkohlerevier
41065,§2,Rheinisches Braunkohlerevier
41066,§2,Rheinisches Braunkohlerevier
41068,§2,Rheinisches Braunkohlerevier
41069,§2,Rheinisches Braunkohlerevier
41169,§2,Rheinisches Braunkohlerevier
41179,§2,Rheinisches Braunkohlerevier
41189,§2,Rheinisches Braunkohlerevier
41199,§2,Rheinisches Braunkohlerevier
41236,§2,Rheinisches Braunkohlerevier
41238,§2,Rheinisches Braunkohlerevier
41239,§2,Rheinisches Braunkohlerevier
18055,§11/12,Steinkohlenbergbaugebiete
18057,§11/12,Steinkohlenbergbaugebiete
18059,§11/12,Steinkohlenbergbaugebiete
18069,§11/12,Steinkohlenbergbaugebiete
18106,§11/12,Steinkohlenbergbaugebiete
18107,§11/12,Steinkohlenbergbaugebiete
18109,§11/12,Steinkohlenbergbaugebiete
18119,§11/12,Steinkohlenbergbaugebiete
18146,§11/12,Steinkohlenbergbaugebiete
18147,§11/12,Steinkohlenbergbaugebiete
18181,§11/12,Steinkohlenbergbaugebiete
18182,§11/12,Steinkohlenbergbaugebiete
26382,§11/12,Steinkohlenbergbaugebiete
26384,§11/12,Steinkohlenbergbaugebiete
26386,§11/12,Steinkohlenbergbaugebiete
26388,§11/12,Steinkohlenbergbaugebiete
26389,§11/12,Steinkohlenbergbaugebiete
